Index,feature name
361,RHD
362,TMEM50A
363,RHCE
364,TMEM57
365,LDLRAP1
366,RP11-70P17.1
367,MAN1C1
368,RP1-187B23.1
369,SEPN1
370,RP1-317E23.3
371,MTFR1L
372,AL020996.1
373,AUNIP
374,RP1-125I3.2
375,PAQR7
376,STMN1
377,PAFAH2
378,EXTL1
379,SLC30A2
380,TRIM63
381,PDIK1L
382,FAM110D
383,ZNF593
384,RP11-96L14.7
385,CNKSR1
386,CEP85
387,SH3BGRL3
388,UBXN11
389,CD52
390,AIM1L
391,ZNF683
392,LIN28A
393,DHDDS
394,HMGN2
395,RPS6KA1
396,RP5-968P14.2
397,ARID1A
398,PIGV
399,ZDHHC18
400,SFN
401,GPN2
402,GPATCH3
403,NUDC
404,C1orf172
405,TRNP1
406,FAM46B
407,SLC9A1
408,WDTC1
409,TMEM222
410,SYTL1
411,MAP3K6
412,FCN3
413,CD164L2
414,GPR3
415,WASF2
416,RP1-159A19.4
417,AHDC1
418,FGR
419,RP11-288L9.1
420,IFI6
421,FAM76A
422,STX12
423,PPP1R8
424,THEMIS2
425,RPA2
426,SMPDL3B
427,RP11-460I13.2
428,XKR8
429,EYA3
430,PTAFR
431,DNAJC8
432,AL353354.2
433,ATPIF1
434,RP5-1092A3.4
435,SESN2
436,MED18
437,PHACTR4
438,RCC1
439,TRNAU1AP
440,SNHG12
441,TAF12
442,RAB42
443,RP11-442N24--B.1
444,RNU11
445,GMEB1
446,YTHDF2
447,EPB41
448,TMEM200B
449,SRSF4
450,RP11-242O24.5
451,MECR
452,PTPRU
453,MATN1
454,MATN1-AS1
455,LAPTM5
456,RP1-65J11.1
457,RP1-65J11.5
458,SDC3
459,PUM1
460,NKAIN1
461,SNRNP40
462,ZCCHC17
463,RP11-266K22.2
464,FABP3
465,SERINC2
466,TINAGL1
467,HCRTR1
468,PEF1
469,RP11-73M7.6
470,RP11-73M7.9
471,COL16A1
472,BAI2
473,SPOCD1
474,RP11-84A19.2
475,RP11-84A19.4
476,PTP4A2
477,AL136115.1
478,RP4-534N18.2
479,KHDRBS1
480,RP11-277A4.4
481,TMEM39B
482,KPNA6
483,TXLNA
484,CCDC28B
485,RP4-622L5.7
486,IQCC
487,TMEM234
488,EIF3I
489,FAM167B
490,LCK
491,HDAC1
492,MARCKSL1
493,TSSK3
494,FAM229A
495,BSDC1
496,ZBTB8B
497,ZBTB8A
498,ZBTB8OS
499,RBBP4
500,SYNC
501,RP11-114B7.6
502,KIAA1522
503,YARS
504,S100PBP
505,FNDC5
506,HPCA
507,TMEM54
508,RNF19B
509,RP1-117O3.2
510,AK2
511,ADC
512,TRIM62
513,ZNF362
514,PHC2
515,ZSCAN20
516,CSMD2
517,C1orf94
518,SMIM12
519,GJB5
520,GJB4
521,GJB3
522,GJA4
523,DLGAP3
524,RP11-244H3.4
525,ZMYM6NB
526,ZMYM6
527,ZMYM1
528,SFPQ
529,ZMYM4
530,ZMYM4-AS1
